Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	03d1efbf-04cf-41ce-9f83-e1e9cbc1c15d
Plate Name	OPP_6hstarvation_04.08.23
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
6	8	1	0	1243,35311969	355,981206204	1551704,69337	3260,41464789	405,59375	1206,82515222	515,435096154	175,891056587	643263	1821	142	504	9	3	0	0					
6	9	1	0	826,735839029	214,438486266	798626,820502	1760,16576283	290,162702703	827,602296863	424,548654244	100,742308174	410114	925	144	439	9	3	0	0					
6	10	1	0	848,856148974	250,793393422	883659,251082	2146,79936407	304,147174197	836,780093389	422,731988473	128,423196985	440064	1157	127	427	9	3	0	0					
6	11	1	0	839,166947333	220,070071339	688116,896813	1906,37991859	267,927391604	848,81541646	425,834146341	112,570832098	349184	1048	149	440	9	3	0	0					
7	2	1	0	887,991762493	263,59009245	950151,185868	2299,60196892	310,640835908	865,043489245	440,44953271	109,571590169	471281	1045	129	446	9	3	0	0					
7	3	1	0	852,87670316	265,002706971	597866,568915	2028,56172447	300,998710094	834,682907241	443,564907275	119,907454175	310939	922	121	453	9	3	0	0					
7	4	1	0	956,780715626	285,10612417	1101254,60369	2388,38477965	324,339573733	943,951287129	467,61251086	125,644499109	538222	982	155	472	9	3	0	0					
7	5	1	0	1049,57321845	383,377760343	1426370,00387	3088,09946793	290,12142132	976,37993645	540,863870493	208,805502117	735034	1803	142	502	9	3	0	0					
7	6	1	0	927,978938436	248,289487598	722895,593041	1832,0713851	320,207582938	925,255643948	471,541720154	122,02465823	367331	854	165	481	9	3	0	0					
7	7	1	0	889,681829618	218,203995543	933276,239269	1696,35487041	288,961383479	894,751407407	465,286939943	117,179360429	488086	983	141	477	9	3	0	0					
7	8	1	0	853,845732064	201,625798526	645507,37344	1374,57484576	334,798153846	870,245155564	434,30952381	104,937796595	328338	707	132	449,5	9	3	0	0					
7	9	1	0	818,083215321	190,819815749	1176403,66363	1591,04263878	269,674805771	821,208046437	435,746175243	97,3731759212	626603	766	104	455,5	9	3	0	0					
7	10	1	0	747,269462916	185,016690992	520099,54619	1402,6296534	288,652525253	758,195293732	400,932471264	89,4935536937	279049	684	155	423	9	3	0	0					
7	11	1	0	799,376390015	191,393982633	877715,276237	1736,21401886	283,427486188	801,379068992	419,744990893	95,5472964988	460880	725	112	434	9	3	0	0					
