Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	c87bb3cb-4285-4183-96ba-56da85797635
Plate Name	11.07.23-OPP incorporation
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	18	31	34	1497	[0,1436,72,1550]	-311,5	-773,22					1452,28	871	
2	2	1	0	18	32	2087	1546	[2039,1496,2159,1599]	305,73	-784,7					1267,66	543	
2	2	1	0	18	33	151	1596	[22,1514,229,1666]	-282,84	-798,84					2074,13	1007	
2	2	1	0	18	34	1251	1591	[1194,1515,1299,1662]	49,61	-798,21					2110,39	1022	
2	2	1	0	18	35	725	1608	[598,1549,847,1652]	-104,03	-802,52					3709,4	1022	
2	2	1	0	18	36	543	1733	[480,1657,630,1809]	-160,44	-841,99					2662,51	877	
2	2	1	0	18	37	355	1783	[198,1734,452,1829]	-222,99	-857,01					2271,82	945	
2	2	1	0	18	38	1419	1860	[1347,1767,1536,1937]	105,06	-876,27					1915,41	913	
2	2	1	0	18	39	1575	1942	[1519,1838,1624,2030]	148,74	-900,65					1507,12	885	
2	2	1	0	18	40	279	1938	[199,1878,342,2004]	-238,31	-904,42					1985,97	752	
2	2	1	0	18	41	2078	1924	[2029,1888,2132,1960]	298,96	-897,19					1023,56	647	
2	2	1	0	18	42	2115	1990	[2063,1921,2159,2061]	311,72	-916,46					1250,28	595	
2	2	1	0	18	43	435	2073	[411,2021,467,2159]	-189,01	-948,42					870,999	698	
2	2	1	0	16	1	824	30	[747,0,869,67]	1210,21	-331,9					616,323	397	
2	2	1	0	16	2	1229	50	[961,0,1440,124]	1320,43	-334,77					1014,01	457	
2	2	1	0	16	3	1468	103	[1353,41,1531,194]	1400,84	-353,69					774,706	503	
2	2	1	0	16	4	908	172	[837,62,995,272]	1240,17	-376,56					1651,96	553	
2	2	1	0	16	5	65	147	[0,90,140,220]	986,2	-371,4					881,159	378	
2	2	1	0	16	6	1062	565	[1024,495,1096,680]	1284,74	-498,33					1311,65	813	
2	2	1	0	16	7	1246	717	[1111,589,1365,792]	1340,74	-533,34					2040,65	937	
2	2	1	0	16	8	251	795	[177,755,292,982]	1043,24	-578,42					1909,02	771	
2	2	1	0	16	9	1277	924	[1235,826,1324,981]	1352,61	-593,61					2014,17	978	
2	2	1	0	16	10	1925	1024	[1818,880,2011,1127]	1541,95	-622,81					2057,94	721	
2	2	1	0	16	11	2071	1320	[1962,1196,2145,1392]	1586,05	-711,2					1158,56	670	
2	2	1	0	16	12	771	1316	[702,1231,855,1412]	1200,58	-716,93					2387,1	1066	
2	2	1	0	16	13	1523	1382	[1454,1321,1620,1453]	1426,21	-733,27					2228,87	896	
2	2	1	0	16	14	41	1478	[0,1360,136,1557]	988,09	-759,86					1394,34	664	
2	2	1	0	16	15	2036	1492	[1999,1401,2093,1603]	1581,05	-769,6					1360,64	739	
2	2	1	0	16	16	368	1515	[306,1468,560,1563]	1093,28	-776,82					1810,69	920	
2	2	1	0	16	17	1235	1526	[1084,1489,1369,1611]	1332,94	-785,3					4427,49	978	
2	2	1	0	16	18	317	1925	[243,1836,373,1986]	1065,02	-896,46					1856,82	745	
2	2	1	0	16	19	1212	1954	[1035,1899,1310,2014]	1328,31	-906,3					2769,4	863	
2	2	1	0	8	1	1366	177	[1289,62,1431,296]	731,41	914,87					732,402	479	
2	2	1	0	8	2	1307	206	[1270,162,1346,392]	711,8	890,06					1720,48	606	
2	2	1	0	8	3	1390	415	[1350,317,1443,504]	738,29	845,26					1248,93	679	
2	2	1	0	8	4	1907	516	[1852,464,2052,590]	904,98	809,64					644,717	493	
2	2	1	0	8	5	310	741	[251,698,383,807]	418,07	744,68					1158,98	752	
2	2	1	0	8	6	1786	840	[1635,696,1940,1080]	861,2	711,48					2335,71	845	
2	2	1	0	8	7	1206	804	[1114,707,1324,878]	685,02	730,18					2270,34	923	
2	2	1	0	8	8	1419	802	[1323,725,1591,952]	752,01	729,52					2110,55	833	
2	2	1	0	8	9	532	912	[502,884,575,1012]	483,43	687,86					1756,18	890	
2	2	1	0	8	10	2124	969	[2058,923,2159,1040]	957,46	680,17					986,41	560	
2	2	1	0	8	11	971	1176	[917,1138,1012,1238]	610,44	615,79					1558,8	910	
2	2	1	0	8	12	324	1251	[233,1185,387,1344]	418,22	589,87					1701,87	835	
2	2	1	0	8	13	1488	1657	[1421,1578,1541,1743]	770,54	475,27					3512,52	976	
2	2	1	0	8	14	1583	1665	[1534,1592,1636,1750]	797,18	470,13					2204,71	911	
2	2	1	0	8	15	575	1756	[396,1683,694,1990]	496,83	434,82					2627,83	838	
2	2	1	0	8	16	1733	1797	[1629,1703,1798,1877]	839,23	435,51					2051,79	865	
2	2	1	0	8	17	1549	1797	[1506,1728,1608,1915]	788,06	425,84					1874,19	890	
2	2	1	0	8	18	37	1814	[0,1733,74,1922]	333,17	421,94					2387,01	644	
2	2	1	0	8	19	991	1874	[865,1840,1055,1915]	613,69	409,24					978,34	810	
2	2	1	0	8	20	1783	1900	[1715,1862,1830,1947]	855,87	402,04					1837,57	805	
2	2	1	0	8	21	125	1971	[41,1887,368,2073]	379,09	375,31					2590,22	794	
2	2	1	0	8	22	1257	2046	[1191,1961,1516,2159]	721,31	346,56					2304,59	737	
2	2	1	0	8	23	976	2079	[826,2030,1064,2122]	608,99	349,02					929,534	767	
2	2	1	0	2	1	1864	141	[1816,87,1969,222]	-1054,67	1571,27					692,626	375	
2	2	1	0	2	2	1071	204	[1001,150,1231,349]	-1282,12	1539,45					750,214	581	
2	2	1	0	2	3	1825	300	[1771,247,1930,374]	-1064,11	1521,63					896,314	537	
2	2	1	0	2	4	1361	441	[1253,399,1445,474]	-1208,4	1483,74					1287,65	741	
2	2	1	0	2	5	1602	553	[1292,453,2119,966]	-1120,8	1430,59					1137,99	501	
2	2	1	0	2	6	1910	553	[1813,493,2010,621]	-1042,27	1447,34					1186,61	596	
2	2	1	0	2	7	1986	1209	[1856,1039,2111,1385]	-1020,71	1253,78					1023,97	569	
2	2	1	0	2	8	1307	1295	[1270,1245,1366,1357]	-1221,11	1227,41					1488,71	907	
2	2	1	0	2	9	431	1429	[343,1395,485,1496]	-1488,2	1182,85					974,75	802	
