Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	2b185cda-bd25-4ec7-abb1-d37a8cb17dad
Plate Name	19.06.24 OPP ISRIB
Measurement	Measurement 1
Evaluation	Evaluation8
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	14	11	287	1321	[229,1213,324,1397]	408,14	-71,95					810,966	481	
2	2	1	0	14	12	1788	1407	[1694,1357,1871,1465]	856,29	-97,52					710,536	488	
2	2	1	0	14	13	1951	1494	[1905,1439,1997,1563]	907,64	-125,3					566,438	399	
2	2	1	0	14	14	1540	1583	[1459,1535,1689,1650]	790,13	-152,07					809,292	512	
2	2	1	0	14	15	1501	1786	[1416,1739,1622,1837]	775,88	-208,83					903,742	514	
2	2	1	0	14	16	960	2115	[903,1978,1031,2159]	611,96	-303,14					688,265	437	
2	2	1	0	14	17	1103	2031	[1069,1991,1235,2071]	662,97	-281,62					631,183	467	
2	2	1	0	14	18	2043	2092	[1977,2023,2104,2158]	932,96	-302,93					432,367	321	
2	2	1	0	17	1	48	132	[0,47,119,203]	337	-365,11					479,354	221	
2	2	1	0	17	2	166	232	[51,83,241,299]	374,11	-386,43					472,113	268	
2	2	1	0	17	3	1028	152	[957,88,1087,235]	630,47	-369,54					543,195	349	
2	2	1	0	17	4	2082	495	[2047,461,2159,546]	948,61	-472,48					376,837	246	
2	2	1	0	17	5	338	551	[268,483,419,599]	426,15	-489,36					835,396	389	
2	2	1	0	17	6	913	612	[763,567,1022,656]	586,46	-506,19					912,987	469	
2	2	1	0	17	7	287	670	[138,601,384,729]	405,75	-523,88					874,272	409	
2	2	1	0	17	8	382	703	[306,626,453,765]	437,1	-533,21					735,241	465	
2	2	1	0	17	9	38	720	[0,653,171,795]	343,2	-540,42					738,809	351	
2	2	1	0	17	10	330	839	[283,749,377,917]	421,84	-574,33					817,383	464	
2	2	1	0	17	11	691	1005	[592,958,763,1063]	528,3	-625,87					1072,89	534	
2	2	1	0	17	12	1699	1130	[1652,1073,1774,1193]	833,04	-661,78					737,359	509	
2	2	1	0	17	13	33	1197	[0,1099,111,1272]	336,5	-677,99					841,878	398	
2	2	1	0	17	14	225	1201	[163,1113,324,1338]	393,95	-687,82					823,418	477	
2	2	1	0	17	15	1810	1228	[1754,1139,1855,1373]	863,41	-694,92					679,043	461	
