Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	8b82562c-8103-4e1a-9d8f-fa87b04ad1b9
Plate Name	2023-04-27-OPP
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	4	103	708	964	[662,922,807,999]	-751,97	-610,57					1797,31	1206	
2	2	1	0	4	104	1434	994	[1347,930,1499,1076]	-544,53	-622,53					1989,94	937	
2	2	1	0	4	105	887	996	[719,933,991,1057]	-709,53	-623,5					1225,03	907	
2	2	1	0	4	106	1289	1010	[1214,947,1349,1056]	-584,31	-623,74					1574,91	909	
2	2	1	0	4	107	249	999	[186,938,305,1055]	-893,91	-623,29					1977,14	1507	
2	2	1	0	4	108	552	1033	[499,980,609,1108]	-802,83	-634,11					1491,66	909	
2	2	1	0	4	109	466	1067	[417,1001,511,1114]	-827,94	-641,78					1540,27	962	
2	2	1	0	4	110	1501	1061	[1432,992,1555,1115]	-521,53	-639,83					1848,94	1195	
2	2	1	0	4	111	1178	1083	[1104,1000,1240,1142]	-618,2	-645,05					1789,35	876	
2	2	1	0	4	112	662	1054	[599,1015,787,1102]	-764,57	-640,76					2687,09	1196	
2	2	1	0	4	113	1820	1132	[1758,1039,1894,1193]	-423,95	-658,23					1291,71	816	
2	2	1	0	4	114	1958	1118	[1885,1038,2003,1254]	-386,99	-663,04					1288,66	711	
2	2	1	0	4	115	844	1111	[788,1053,916,1215]	-713,52	-660,13					1839,79	975	
2	2	1	0	4	116	577	1127	[530,1083,634,1186]	-794,5	-660,16					3079,13	1296	
2	2	1	0	4	117	735	1147	[666,1090,822,1211]	-746,73	-667,47					1430,45	935	
2	2	1	0	4	118	1015	1164	[948,1083,1072,1237]	-667,38	-671,35					1744,69	984	
2	2	1	0	4	119	25	1154	[0,1094,71,1193]	-959,5	-668,59					1695,06	666	
2	2	1	0	4	120	1330	1185	[1269,1099,1420,1244]	-569,99	-674,96					1623,3	928	
2	2	1	0	4	121	459	1160	[411,1110,521,1226]	-830,25	-672,96					2545,46	1446	
2	2	1	0	4	122	639	1196	[588,1145,704,1247]	-775,33	-681,26					1948,66	983	
2	2	1	0	4	123	85	1199	[0,1146,147,1274]	-948,25	-686,01					1465,92	760	
2	2	1	0	4	124	1640	1217	[1560,1160,1713,1286]	-476,76	-686,51					2859,67	1449	
2	2	1	0	4	125	1419	1230	[1380,1182,1458,1280]	-544,34	-691,22					1573,05	1083	
2	2	1	0	4	126	336	1228	[260,1177,404,1282]	-867,41	-691,56					1722,41	1036	
2	2	1	0	4	127	2103	1241	[2055,1189,2153,1352]	-339,94	-697,6					1470,06	813	
2	2	1	0	4	128	1109	1247	[1025,1204,1158,1288]	-640,13	-695,73					1829,06	1108	
2	2	1	0	4	129	808	1248	[707,1208,867,1289]	-731,21	-696,17					1260,82	977	
2	2	1	0	4	130	133	1306	[92,1210,179,1379]	-926,21	-713,67					1734,37	804	
2	2	1	0	4	131	1509	1295	[1423,1238,1588,1339]	-520,31	-708,95					2041,39	1345	
2	2	1	0	4	132	513	1313	[428,1246,593,1387]	-813,59	-717,01					1482,45	883	
2	2	1	0	4	133	253	1320	[207,1264,332,1372]	-890,85	-718,37					1671,13	943	
2	2	1	0	4	134	2038	1344	[1980,1278,2086,1417]	-359,46	-723,13					1861,95	1031	
2	2	1	0	4	135	1314	1345	[1258,1295,1391,1404]	-573,65	-726,83					2668,96	1330	
2	2	1	0	4	136	1726	1354	[1668,1301,1860,1509]	-440,32	-739,89					1581,16	1044	
2	2	1	0	4	137	362	1360	[316,1320,456,1406]	-854,22	-731					1780,7	1064	
